Date,Close,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction
2023-05-01,102.05000305175781,105.2300033569336,101.81999969482422,104.94999694824219,74728100,-3.399993896484375,-0.032242712137328766,103.27178656223592,99.01999984741211,106.7850500869751,49.232969790270595,3.526739661460755,-361319800.0,1.6525799388160038,-0.08734189660744063,1.7399218354234445,98.21486635427414,103.27700004577636,108.33913373727859,9.803022336548297,0.3788063424640185,61.318123281331616,66.15543939663304,0.015482549283793778,1
2023-05-02,103.62999725341797,103.9000015258789,101.1500015258789,101.47000122070312,73469400,1.5799942016601562,0.015482549283793778,103.30590186615801,99.14859985351562,106.7354500579834,51.905072552638025,3.4712582570707013,-287850400.0,1.4811556365368688,-0.20701295910926065,1.6881685956461294,98.28974274625726,103.3379997253418,108.38625670442634,9.770378742577009,0.5289206283758873,44.11897604674156,58.92994353092222,0.00019303553981586674,1
2023-05-03,103.6500015258789,105.95999908447266,103.27999877929688,103.73999786376953,65051900,0.0200042724609375,0.00019303553981586674,103.3386732623219,99.32999984741211,106.68490005493165,51.93956397111312,3.41473983193535,-222798500.0,1.3315653629072415,-0.28528258619111035,1.6168479490983518,98.28032611399944,103.32299995422363,108.36567379444783,9.76098998762775,0.5324234307052402,33.18297568903243,46.20669167236854,0.0033767339022539034,1
2023-05-04,104.0,105.38999938964844,103.30999755859375,104.04000091552734,45345500,0.34999847412109375,0.0033767339022539034,103.40165676114839,99.49419982910156,106.61385005950928,52.58032840308742,3.319401403301017,-177453000.0,1.2271105782223657,-0.31178989670078905,1.5389004749231547,98.52353058813357,103.46800003051757,108.41246947290158,9.557485291927259,0.5537974777356416,31.96542328162216,36.422458339132056,0.015961573674128537,1
2023-05-05,105.66000366210938,105.76000213623047,103.55000305175781,104.2699966430664,56951700,1.660003662109375,0.015961573674128537,103.61673741838277,99.69099990844727,106.52830009460449,55.60365774678762,3.240158380527563,-120501300.0,1.263710562375735,-0.22015193003793598,1.483862492413671,98.65974819499225,103.64800033569335,108.63625247639446,9.62537072504099,0.7016741806212337,33.949817038294746,33.03273866964978,0.0016089169321718,1
2023-05-08,105.83000183105469,106.0999984741211,104.69999694824219,105.04000091552734,49430900,0.1699981689453125,0.0016089169321718,103.8275245053039,99.93759994506836,106.43430011749268,55.91365007191635,3.108718605195516,-71070400.0,1.2915456111596342,-0.15385350500322947,1.4453991161628637,98.80466674801599,103.83100051879883,108.85733428958167,9.681759292828566,0.6988528222972065,41.33196721848172,35.74906917946621,0.00746481056277859,1
2023-05-09,106.62000274658203,106.79000091552734,105.16000366210938,105.4800033569336,44089400,0.7900009155273438,0.00746481056277859,104.09347481399705,100.1947999572754,106.35530014038086,57.40218526032844,3.00309565149712,-26981000.0,1.3616552453638917,-0.06699509663917769,1.4286503420030694,99.33778685731576,104.16600074768067,108.99421463804558,9.27022993243294,0.7541314505347952,50.326141587223255,41.86930861466658,0.03348339526223332,1
2023-05-10,110.19000244140625,110.66999816894531,108.05000305175781,108.0999984741211,78627600,3.5699996948242188,0.03348339526223332,104.67409649279793,100.51399993896484,106.30055015563966,63.413876011065106,3.0778742065589886,51646600.0,1.6858533076994888,0.2057623725571356,1.4800909351423532,100.20004004024048,104.78400077819825,109.36796151615602,8.749352389513882,1.0896649177689586,65.8771172357546,52.511742013819855,0.01805969525073481,1
2023-05-11,112.18000030517578,113.27999877929688,110.48999786376953,111.02999877929688,74924800,1.9899978637695312,0.01805969525073481,105.38894447492915,100.91419998168945,106.28740016937256,66.2713202717648,3.078740073082677,126571400.0,2.079388903417552,0.4794383746201589,1.5999505287973932,99.80859923122647,105.27300071716309,110.7374022030997,10.381392092390001,1.1319996440405045,80.12173161994525,65.44166348097437,-0.01711533396079623,0
2023-05-12,110.26000213623047,112.63999938964844,109.31999969482422,112.16000366210938,49852700,-1.9199981689453125,-0.01711533396079623,105.8528547283864,101.2768000793457,106.2338501739502,61.29700286856072,3.0959729032070733,76718700.0,2.210855525862925,0.48872399765242536,1.7221315282104999,99.9415617422644,105.66050071716309,111.37943969206178,10.825121849852692,0.9021289123083236,86.37819089348211,77.45901324972732,0.008525256609829501,1
2023-05-15,111.19999694824219,112.29000091552734,109.25,111.1500015258789,53011100,0.9399948120117188,0.008525256609829501,106.36210636837266,101.60279998779296,106.17845016479492,62.770353484229275,3.0919749040870927,129729800.0,2.363646847245704,0.5132122552281633,1.8504345920175407,100.04844611744817,106.08350067138672,112.11855522532527,11.377932507399525,0.9238980966225386,82.9623568230263,83.15409311215122,0.01978421437062372,1
2023-05-16,113.4000015258789,114.79000091552734,111.05000305175781,111.05000305175781,71472900,2.2000045776367188,0.01978421437062372,107.03238209765898,101.99580001831055,106.0707001876831,66.02979018690046,3.138262258350124,201202700.0,2.631917941733178,0.6251866797725096,2.0067312619606685,100.07854252274437,106.63850059509278,113.19845866744119,12.303170122874516,1.0153615965387999,82.5882911725266,83.97627962967833,0.018518504813616277,1
2023-05-17,115.5,115.83000183105469,114.22000122070312,114.88999938964844,65655200,2.0999984741210938,0.018518504813616277,107.83882189788194,102.43479995727539,105.97125019073486,68.83461779911194,3.0876721188376712,266857900.0,2.97962972661216,0.7783187717211928,2.201310954890967,99.68916153797007,107.19850044250488,114.7078393470397,14.010156622596401,1.0527450327539438,90.13794412070716,85.22953070542002,0.022943736154795724,1
2023-05-18,118.1500015258789,118.5999984741211,116.33999633789062,116.69000244140625,73174100,2.6500015258789062,0.022943736154795724,108.82083900531022,102.91940002441406,105.89120018005372,71.97879217704002,3.088552572786487,340032000.0,3.4294937284921474,0.9825462188809442,2.446947509611203,99.19629778267641,107.91550064086914,116.63470349906187,16.159315031506498,1.0868942982209224,94.99421327642146,89.2401495232184,-0.01608126535201726,0
2023-05-19,116.25,118.30999755859375,115.69999694824219,118.16000366210938,55056300,-1.9000015258789062,-0.01608126535201726,109.52837814766163,103.39940002441406,105.77485015869141,66.77699352064253,3.054370289755421,284975700.0,3.5913016569206917,0.9154833178475905,2.675818339073101,98.95282525702574,108.3800006866455,117.80717611626527,17.3965221810178,0.9174102504037058,93.90206977493983,93.01140905735615,-0.010666648290490577,0
2023-05-22,115.01000213623047,116.7699966430664,114.25,116.7699966430664,70741100,-1.2399978637695312,-0.010666648290490577,110.05043757514439,103.885,105.63705013275147,63.5491646614371,3.0162007435633487,214234600.0,3.5782305273042425,0.7219297505849132,2.8563007767193294,99.0247551303535,108.8200008392334,118.6152465481133,18.00265692581832,0.8159696796265921,86.84026040875314,91.91218115337148,-0.00017393506729301844,0
2023-05-23,114.98999786376953,117.13999938964844,113.77999877929688,114.2699966430664,67576300,-0.0200042724609375,-0.00017393506729301844,110.52087188834679,104.33619995117188,105.50800010681152,63.49584155658718,3.040757876905364,146658300.0,3.525616275501818,0.5354523990259912,2.990163876475827,99.73504666023011,109.44100074768066,119.14695483513121,17.737327000194202,0.7858553144849265,79.82978514175495,86.85737177514932,0.015305697616548875,1
2023-05-24,116.75,117.33999633789062,115.0199966430664,115.3499984741211,63487900,1.7600021362304688,0.015305697616548875,111.11412218469472,104.77360000610352,105.39470008850098,66.18427565345809,2.991417919563631,210146200.0,3.58461535090575,0.4755611795439383,3.109054171361812,100.05330836998003,110.02950057983398,120.00569278968793,18.13366807498237,0.8368268813790432,80.22134844754935,82.29713133268581,-0.01498929336188437,0
