Date,Close,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction
2023-05-01,167.01431274414062,167.86125191507637,166.07874407354768,166.70902333840385,52472900,-0.088653564453125,-0.0005305325597236843,162.34979343155803,155.81761505126954,148.43144229888915,65.85039323769836,2.7219669428737845,731964100.0,2.634078838060333,0.012831265924301505,2.6212475721360313,157.89094874937666,162.76290740966797,167.6348660699593,5.986571188518745,0.9363137734648228,96.18110832297089,80.67101522706248,-0.006191339780456717,0
2023-05-02,165.9802703857422,167.76279339985444,164.99545801480568,167.50673256610264,48425700,-1.0340423583984375,-0.006191339780456717,162.69555314148033,156.13255767822267,148.52526973724366,62.441915274965005,2.7252075458862834,683538400.0,2.610081821840083,-0.008932600236758681,2.619014422076842,157.82038567356855,162.8796073913574,167.93882910914627,6.212222387831353,0.806436757207384,89.69999253721285,89.08225637962909,-0.006467278003964627,0
2023-05-03,164.90682983398438,168.32412999077732,164.62124085601573,166.9256982160475,65136000,-1.0734405517578125,-0.006467278003964627,162.90615092171882,156.50619598388673,148.62892482757567,59.02627707934842,2.7950419450916626,618402400.0,2.475905633244224,-0.11448703106609415,2.5903926643103183,157.83361368797577,162.9692237854004,168.10483388282503,6.302552074724559,0.6886441933700954,76.01810835783459,87.2997364060061,-0.009913360686363504,0
2023-05-04,163.2720489501953,164.50306450874902,161.81453073644045,162.3857237588548,81235400,-1.6347808837890625,-0.009913360686363504,162.9409983530023,156.8386685180664,148.70514293670655,54.16674328195902,2.816274598838253,537167000.0,2.212156518876924,-0.3025889163467159,2.51474543522364,157.99204513711706,163.06918334960938,168.1463215621017,6.226974475744165,0.5199783413505256,57.645708498554654,74.4546031312007,0.046926893028231165,1
2023-05-05,170.93389892578125,171.65280778469676,168.1665634032941,168.38322333782398,113453200,7.6618499755859375,0.046926893028231165,163.70222697898126,157.31472686767577,148.80967090606688,67.6212563490734,3.213737758528482,650620200.0,2.5915074214121887,0.061409588950839034,2.5300978324613497,157.40770541551012,163.5079147338867,169.6081240522633,7.461668541617488,1.1086663427699215,62.580350906202206,65.41472258753048,-0.00040330917049002935,0
2023-05-08,170.86495971679688,171.20965008439242,169.49607101524845,169.86044681233003,55962800,-0.068939208984375,-0.00040330917049002935,164.38439200163037,157.84238891601564,148.90253154754637,67.42945385733377,3.1065835664295887,594657400.0,2.8536873948024493,0.2588716498728796,2.5948157449295697,157.46520806801223,164.07270584106445,170.68020361411666,8.054353390688677,1.013980791899296,74.50617520796239,64.91074487090641,-0.00997106040236806,0
2023-05-09,169.1612548828125,170.90436226614003,168.9938385535857,170.42181373691182,45326900,-1.703704833984375,-0.00997106040236806,164.8393313236477,158.3121450805664,148.993049659729,62.69655290089333,3.0211507197242127,549330500.0,2.8906703228695676,0.2366836623519979,2.6539866605175697,158.1989388126601,164.61287689208984,171.0268149715196,7.792753763284681,0.8545698394960993,88.2319876414437,75.10617125186944,0.010420838538024668,1
2023-05-10,170.92405700683594,171.38692008917508,169.28926463206565,170.3922648627901,53724500,1.7628021240234375,0.010420838538024668,165.41882900776088,158.8272021484375,149.09796962738037,65.40248314367891,2.9643303259126674,603055000.0,3.027325831130611,0.29867133649043254,2.7286544946401783,159.1354000862264,165.2756561279297,171.41591216963297,7.430321180453204,0.9599483181599868,88.20302044561784,83.64706109834131,0.00109456805537822,1
2023-05-11,171.11114501953125,171.9383837832071,169.55513971049686,171.2096322648924,49514700,0.1870880126953125,0.00109456805537822,165.9609543422152,159.38736358642578,149.21044208526612,65.68696452651346,2.922824164969636,652569700.0,3.1148170727338425,0.30893006247493116,2.8058870102589113,159.13155936246486,165.6789352416992,172.22631112093356,7.903691401303095,0.9148386985892188,88.14696806909372,88.19399205205174,-0.00541754280832607,0
2023-05-12,170.18414306640625,171.6535334613317,168.63584185680983,171.2196142676148,45533100,-0.927001953125,-0.00541754280832607,166.36316279213816,159.91716674804687,149.29284038543702,62.92601467306224,2.929600410651939,607036600.0,3.073918977185315,0.2144255735411229,2.859493403644192,159.3752470804116,166.05309982299804,172.73095256558446,8.043032921041025,0.8093092497430697,90.44404997195066,88.93134616222073,-0.0028972882013644785,0
2023-05-15,169.69107055664062,170.81530899814229,169.09935977781652,170.7659972586019,37266700,-0.493072509765625,-0.0028972882013644785,166.68010638875742,160.33626373291017,149.37002826690673,61.4465930633732,2.8429110399143553,569769900.0,2.9675124744559014,0.08641525664936722,2.881097217806534,159.7282715196074,166.40162506103516,173.07497860246292,8.020779291043594,0.7464612038898278,86.13722994418958,88.24274932841132,0.0,0
2023-05-16,169.69107055664062,170.74626955321972,169.42479920138675,169.61217478294208,42110300,0.0,0.0,166.96686488093675,160.70021087646484,149.42192401885987,61.44659306337321,2.7342367050513996,569769900.0,2.8503277503863274,-0.024615573936165536,2.874943324322493,159.96919878312454,166.68909225463867,173.4089857261528,8.062787289343012,0.7233650216872822,81.11271331426411,85.89799774346812,0.0036032239912078268,1
2023-05-17,170.30250549316406,170.53917778241149,168.06388478776768,169.3360585337975,57951600,0.6114349365234375,0.0036032239912078268,167.28454493924414,161.12030975341796,149.4817784500122,62.70752533796466,2.7157407257365715,627721500.0,2.7748094258905383,-0.08010711874556398,2.8549165446361022,160.0957559828728,166.95001144409179,173.80426690531078,8.211147039680618,0.7445556682297957,80.76266867463724,82.67087064436365,0.013666047095474365,1
2023-05-18,172.62986755371094,172.81724313624747,170.19401507639674,170.60820660461047,65496700,2.327362060546875,0.013666047095474365,167.7936232834791,161.56194152832032,149.56062213897704,67.11621189808415,2.7091326781732974,693218200.0,2.8696793995526946,0.01181028393327388,2.8578691156194207,160.2267294750613,167.37555465698242,174.52437983890354,8.542257197082153,0.8674948514628884,86.64671723198522,82.84069974029552,0.0006284543443828561,1
2023-05-19,172.7383575439453,173.95134816577144,172.5213979143073,173.95134816577144,55809500,0.108489990234375,0.0006284543443828561,168.26455035590445,162.05065093994142,149.6100101852417,67.31021580528986,2.6177625048369286,749027700.0,2.9199592995111914,0.049672147113416276,2.870287152397775,160.73942076473935,167.88678436279298,175.0341479608466,8.514504134653766,0.8393959964813817,90.71468229984636,86.04135606882294,-0.005480814103092424,0
2023-05-22,171.79161071777344,172.2945693897219,171.05197977463047,171.57465110395842,43570900,-0.946746826171875,-0.005480814103092424,168.60046086655865,162.5615899658203,149.65623317718507,63.774290034815756,2.5512350237282084,705456800.0,2.8505525307298,-0.015787697334380013,2.86634022806418,161.3933004634672,168.3354118347168,175.27752320596642,8.24795127250569,0.7489299507186168,90.16925862424411,89.17688605202522,-0.015155080123657294,0
2023-05-23,169.18809509277344,170.98293990870613,168.91196743614205,170.73639628329747,50747300,-2.603515625,-0.015155080123657294,168.65642603096006,162.9816571044922,149.69056751251222,55.18847439034169,2.5746927564355784,654709500.0,2.556001222929808,-0.24827120410749792,2.804272427037306,162.5853267994389,168.73067932128907,174.87603184313926,7.284214757588325,0.5372163980713875,77.65481988943844,86.17958693784296,0.0016322281086129653,1
