Date,Close,High,Low,Open,Volume,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0
2023-05-01,28.85080337524414,28.998501044313812,27.7231180146928,27.782994624988884,570329000,27.04875203529648,25.52042881011963,18.382865109443664,66.83232490364911,0.8679865196357455,13665525000.0,0.5735150425129909,-0.014280325219843792,0.5877953677328347,25.986731843733057,27.18157892227173,28.3764260008104,8.791594351126172,1.1985096599197929
2023-05-02,28.152236938476562,28.776956510510566,28.025498077141993,28.621275795478528,402730000,27.153845835599345,25.656661949157716,18.445034470558166,60.19290586258408,0.8649378609547742,13262795000.0,0.5955481103340041,0.006202194080935475,0.5893459162530686,25.964968989144655,27.193803691864012,28.42263839458337,9.03760810104698,0.8899764730323694
2023-05-03,27.74506950378418,28.308913078393672,27.415745325509498,27.782991797248716,383387000,27.210152851616947,25.799379196166992,18.50347771167755,56.65970886702999,0.8669542818068743,12879408000.0,0.5735430192743323,-0.012642317582989171,0.5861853368573214,25.961673896308405,27.211217880249023,28.460761864189642,9.18403571232721,0.7136185802165913
2023-05-04,27.505563735961914,27.801954572191782,27.184222567509938,27.594380294690612,321850000,27.238287221554565,25.93533073425293,18.556280760765077,54.62843299463667,0.8491526905836579,12557558000.0,0.530660587315559,-0.04441979963340992,0.5750803869489689,26.002465283368252,27.245198059082032,28.48793083479581,9.122582063957665,0.6047552949306972
2023-05-05,28.62127685546875,28.696122147897874,27.67422056486533,27.76902536331952,361494000,27.37000052002258,26.035525512695312,18.610598664283753,61.54470365330771,0.8735388135373938,12919052000.0,0.5800185822109043,0.003950556209548317,0.576068026001356,25.955200811513226,27.32717990875244,28.699159005991657,10.041131955952714,0.9716168596592957
2023-05-08,29.091306686401367,29.160165639021326,28.291948200428276,28.463594976478973,344979000,27.53393444063008,26.152664222717284,18.666055064201355,64.03218494589794,0.8731587153270834,13264031000.0,0.6495747347279668,0.05880536698128869,0.5907693677466781,25.833196305471116,27.405618762969972,28.97804122046883,11.475183035264928,1.0360162325946116
2023-05-09,28.51249885559082,28.913676170511692,28.3917482221622,28.839828282414175,314869000,27.627131051578722,26.25393627166748,18.722262291908265,58.97332200718209,0.8607586973922324,12949162000.0,0.6504950302851853,0.047780530030805735,0.6027145002543796,25.838232450859955,27.475575256347657,29.11291806183536,11.918533389829049,0.8166482900733495
2023-05-10,28.825857162475586,29.053390963914687,28.402725530757564,28.94561039227481,369350000,27.74129544309271,26.367162857055664,18.781507239341735,60.77989232572944,0.8457520356611531,13318512000.0,0.6688002546437879,0.05286860351152667,0.6159316511322612,25.929152446105686,27.59483060836792,29.260508770630157,12.072392731101827,0.8695271337518617
2023-05-11,28.51948356628418,28.89072351358173,28.18816453314951,28.836833229798795,322149000,27.815408597682374,26.484598999023437,18.841668524742126,58.08674350336103,0.8355239602876579,12996363000.0,0.6510802403608302,0.02811887138285518,0.622961368977975,26.081845513947375,27.700364208221437,29.3188829024955,11.68590190444996,0.7530459984677946
2023-05-12,28.28196907043457,28.72106862682804,27.988570462268328,28.47058123775665,274222000,27.85984292842068,26.584992065429688,18.894374623298646,56.01457558403396,0.8281649748785189,12722141000.0,0.6108302951384736,-0.009704859071601124,0.6205351542100748,26.209758639114977,27.779302215576173,29.34884579203737,11.300093604087259,0.6601315383647216
2023-05-15,28.89371681213379,28.90968479771039,28.09435819789657,28.449628270125718,293926000,27.958307107821927,26.686125679016115,18.94917214870453,59.975037055100124,0.8272479480881831,13016067000.0,0.6211347984173266,0.00047971536580138086,0.6206550830515252,26.284389696652987,27.87665252685547,29.468915357057952,11.423630069417754,0.81937701049926
2023-05-16,29.15318489074707,29.808841156723194,28.77296638486964,28.781946830273363,449405000,28.072104991910034,26.79915370941162,19.004374499320985,61.55614031360336,0.8421498640714239,13465472000.0,0.6428279762212767,0.017738314535801214,0.6250896616854755,26.273549774099546,27.95379419326782,29.634038612436097,12.021583957808007,0.856909591187022
2023-05-17,30.116209030151367,30.13716594058163,29.369741392303435,29.52342540212538,432535000,28.266781566980637,26.936671562194825,19.06300581455231,66.79848025375944,0.8522806630545052,13898007000.0,0.7293208192256131,0.08338492603211001,0.6459358931935031,26.140591882092938,28.065914154052734,29.99123642601253,13.720003997673306,1.0324549832407086
2023-05-18,31.613140106201172,31.762832606733102,30.25792075284202,30.34773663384986,748725000,28.585482380239736,27.086304588317873,19.12869798183441,72.9688597603101,0.9090194425921645,14646732000.0,0.9081878240081878,0.2098015446517476,0.6983862793564402,25.88415748677133,28.29414596557617,30.704134444381012,17.035244546606446,1.188591287845275
2023-05-19,31.199987411499023,31.51534039145064,30.852700362166704,31.471429856400064,473908000,28.834482859407288,27.242544097900392,19.190494456291198,69.14911780278759,0.8984066069809005,14172824000.0,1.0050180222062366,0.2453053942798371,0.7597126279263995,25.850914092603567,28.50097188949585,31.151029686388135,18.596262661968897,1.009237105162065
2023-05-22,31.112167358398438,31.45546287720747,30.617182635048753,30.83772890145582,372000000,29.051405192644538,27.406427917480467,19.250246291160583,68.33031806178639,0.8941118666364588,13800824000.0,1.0624233524877802,0.24216857964910454,0.8202547728386756,25.921997335226457,28.707248878479003,31.49250042173155,19.404517340152147,0.9317237496457917
2023-05-23,30.625164031982422,31.223935873295638,30.568281535055462,30.936525465603022,356253000,29.201286986867196,27.560551795959473,19.30868999004364,63.81744244410644,0.8770791860367243,13444571000.0,1.0564423817693367,0.18895008714452877,0.8674922946248079,26.278426762847296,28.929143524169923,31.57986028549255,18.32558063191873,0.8199173394456215
2023-05-24,30.47547149658203,30.544330458079507,29.744969965607368,30.14814207840876,721419000,29.322637892554326,27.689786682128908,19.372348656654356,62.452105301682025,0.8773016774894622,12723152000.0,1.0277759217526388,0.12822690170226458,0.8995490200503742,26.547816955614454,29.10787706375122,31.66793717188799,17.590153363158695,0.7671020161761273
2023-05-25,37.90223693847656,39.399165745558044,36.55998955658973,38.44412443571779,1543911000,30.139742563594538,27.964263610839843,19.47666635990143,82.4796462244081,1.4520440040242157,14267063000.0,1.5860524236940776,0.5492027229149627,1.0368497007791149,25.159007832049966,29.644476318359374,34.12994480466878,30.26174885424759,1.4205014643756397
2023-05-26,38.866249084472656,39.08978942316248,37.47310777717433,37.8124117084939,714397000,30.970838422725787,28.231814498901368,19.580763125419615,83.69533237173692,1.4638038355930685,14981460000.0,2.082275125765328,0.8363403399889704,1.2459347857763576,24.277240200882247,30.20317964553833,36.129119090194415,39.24050059763476,1.230944816416116
