Date,Close,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction
2023-05-01,297.84600830078125,300.80927056527844,297.44635535169203,299.2204158338492,21294100,-1.6571044921875,-0.005532845641350592,282.1508849019145,266.9001168823242,249.07678367614747,66.75678753562644,6.825398216070554,-291166500.0,6.736282997766409,1.2867588594323855,5.449524138334024,266.68819572257047,282.1788101196289,297.66942451668734,10.979289614617933,1.005699702399391,94.58056618758535,82.43037049252139,-0.0004907878405109312,0
2023-05-02,297.6998291015625,301.3746435203023,296.237697087883,299.9905085390908,26404400,-0.14617919921875,-0.0004907878405109312,283.6317367304524,267.8232092285156,249.3233571624756,66.58319725833766,6.70479451723832,-317570900.0,7.153216191406216,1.3629536424577529,5.790262548948463,266.21163507206614,283.06486053466796,299.91808599726977,11.90767757662929,0.9341889509331701,91.27721008475767,92.66682480203524,-0.0033072175702621998,0
2023-05-03,296.71527099609375,300.81897921071857,296.41309947358855,298.8792272280922,22360800,-0.98455810546875,-0.0033072175702621998,284.87778761289445,268.8316888427734,249.57695709228517,65.35060332551993,6.540586318659156,-339931700.0,7.3198148709851125,1.2236418576293193,6.096173013355793,266.1132527050238,283.9041229248047,301.6949931445856,12.533012931617785,0.8600483819235798,88.22325872503848,91.36034499912715,0.003318191551663352,1
2023-05-04,297.6998291015625,299.9905085390908,295.74056268414336,298.5088623937183,22519900,0.98455810546875,0.003318191551663352,286.09893442133904,269.88247467041015,249.80993682861327,66.02787479242721,6.376969142679748,-317411800.0,7.4454644560374845,1.0794331541453523,6.366031301892132,266.4575557819056,284.93102874755857,303.4045017132115,12.966978743490909,0.8455982634598403,87.85366598160358,89.11804493046655,0.017157203444213565,1
2023-05-05,302.8075256347656,304.0942089102195,296.58858621722317,298.00199235653776,28197100,5.107696533203125,0.017157203444213565,287.69022882261777,270.9718600463867,250.05519981384276,69.37249729351726,6.457587253416646,-289214700.0,7.866510840638398,1.2003836309970124,6.6661272096413855,265.8185506654685,285.85948333740237,305.90041600933625,14.021527246853243,0.9228356677505825,90.36831224447268,88.8150789837049,-0.006438061287005525,0
2023-05-08,300.8580322265625,302.36891985995953,298.3626625741606,302.30067989163814,21318600,-1.949493408203125,-0.006438061287005525,288.94430533727916,272.1304534912109,250.27828254699708,66.67435659615987,6.313821239644388,-310533300.0,7.951228495832197,1.0280810289526485,6.9231474668795485,265.81590543792333,286.7981689453125,307.7804324527017,14.63207633755161,0.8350416239958721,92.05729679217775,90.09309167275131,-0.005345835012084965,0
2023-05-09,299.24969482421875,302.2129574604757,298.5771116971217,300.22444953048654,21340800,-1.60833740234375,-0.005345835012084965,289.92577100270194,273.2385546875,250.51499649047852,64.44734554383517,6.122537277052217,-331874100.0,7.798690016998364,0.7004340400950522,7.098255976903312,266.97534973940054,287.9761596679688,308.976969596537,14.585103122968082,0.7684071517859448,91.2477388172236,91.22444928462467,0.017296371316037673,1
2023-05-10,304.4256286621094,305.09821176430125,299.9027824610233,300.8287815493971,30078000,5.175933837890625,0.017296371316037673,291.3067098274074,274.4646008300781,250.78499168395996,68.13593983888977,6.102964395840095,-301796100.0,8.003200859487436,0.7239559060672978,7.279244953420138,267.9297342882727,289.38078155517576,310.8318288220788,14.825481603596419,0.8506786153547476,91.83871482711986,91.71458347884038,-0.00704421538583988,0
2023-05-11,302.28118896484375,303.26570080657984,298.5284068792122,302.2714616451602,31680200,-2.144439697265625,-0.00704421538583988,292.3518983166871,275.7091677856445,251.0777896118164,65.1213909476099,6.088268494915602,-333476300.0,7.901159169239804,0.49753137265573244,7.403627796584072,268.4570182249272,290.3686950683594,312.2803719117916,15.09231347289258,0.7718298097768591,92.30238884127034,91.79628082853792,-0.003676168457822482,0
2023-05-12,301.1699523925781,302.8075331032812,298.8597885779878,302.71005168658775,19774700,-1.111236572265625,-0.003676168457822482,293.1917129905815,276.8371542358398,251.28356506347657,63.55227670012023,5.935373925656872,-353251000.0,7.6425246236030375,0.19111746161517207,7.4514071619878655,269.7495705199572,291.4813766479492,313.2131827759412,14.911282757004162,0.722912345333078,93.25894069735443,92.46668145524819,0.0015857145650957083,1
2023-05-15,301.64752197265625,302.07641633631226,299.8247358006917,301.29662462810876,16336500,0.477569580078125,0.0015857145650957083,293.9970281317315,277.89320281982424,251.45462356567384,63.95425235212878,5.672252969225707,-336914500.0,7.390893141260278,-0.04841121658207026,7.439304357842349,270.83194898456304,292.48829193115233,314.1446348777416,14.808348603360093,0.7114676070676658,88.04861311633108,91.2033142183186,0.007367883043013501,1
2023-05-16,303.8700256347656,305.790293615096,302.0082405576207,302.0082405576207,26730300,2.222503662109375,0.007367883043013501,294.93731360821096,278.9628985595703,251.6158476257324,65.84228156719101,5.563004303026711,-310184200.0,7.286813005447584,-0.12199308191581171,7.408806087363396,272.09285080638944,293.627294921875,315.1617390373605,14.667876241692845,0.7378220365931119,87.05137313863601,89.45297565077381,0.009451439875796552,1
2023-05-17,306.7420349121094,307.1620885056331,303.55737876771076,305.0715691203483,24315000,2.87200927734375,0.009451439875796552,296.0615727800108,280.14306182861327,251.8046383666992,68.16296212061417,5.42312611980497,-285869200.0,7.351334288625253,-0.04597743899051476,7.397311727615768,273.44570293766947,294.90599822998047,316.36629352229147,14.553990370569089,0.7757659324093652,89.40465199043227,88.16821274846643,0.014394821457831997,1
2023-05-18,311.15753173828125,311.66553123401303,306.46849366987317,307.2597684712648,27276000,4.415496826171875,0.014394821457831997,297.49928315698895,281.42030731201174,252.03093872070312,71.38212074803167,5.406976937257462,-258593200.0,7.670342627235414,0.21842471969571609,7.4519179075396975,275.26790302331955,296.51952362060547,317.7711442178914,14.334044745382236,0.8443974554944113,94.1628775173774,90.20630088214854,-0.000564926868451443,0
2023-05-19,310.98175048828125,311.38227715164794,309.05728471229986,309.4187276052405,27546700,-0.17578125,-0.000564926868451443,298.7833276647311,282.72093994140624,252.2193519592285,71.07401611093188,5.186835187406793,-286139900.0,7.818844187374566,0.2935410238678946,7.525303163506671,277.6881625842003,298.14131622314454,318.5944698620888,13.720442304370872,0.8138986410557154,96.28886011427943,93.28546320736302,0.008921272785260337,1
2023-05-22,313.756103515625,315.1335157612651,310.65939292099665,311.2357518358931,24115700,2.77435302734375,0.008921272785260337,300.20930631719716,284.1497763061523,252.41592849731444,73.05109402623458,5.135927162611195,-262024200.0,8.06740383710229,0.43368053887649527,7.633723298225795,281.61652099542744,300.0962905883789,318.5760601813304,12.315893379901105,0.8695882910914702,95.13787857574307,95.19653873579995,-0.01843186955557541,0
2023-05-23,307.9729919433594,315.26055083800105,307.9632135465672,312.6327259488541,30797200,-5.783111572265625,-0.01843186955557541,300.94870494826023,285.3590417480469,252.5871694946289,63.333598658851784,5.290313600384242,-292821400.0,7.708877239675644,0.060123153159878484,7.6487540865157655,290.314890320809,302.0715927124023,313.82829510399563,7.784050321333381,0.7509802083268213,83.75658776506393,91.7277754850288,-0.00447280273738937,0
2023-05-24,306.5954895019531,309.1842298558464,305.38413133071174,307.45515342600294,23384900,-1.37750244140625,-0.00447280273738937,301.48649395337384,286.406826171875,252.7640525817871,61.24379632027211,5.183869666437844,-316206300.0,7.2302436453439896,-0.3348083529374204,7.56505199828141,293.06929802983285,303.0056976318359,312.942097233839,6.558556277760947,0.6806384613091421,69.71890936905608,82.87112523662101,0.038457989586643926,1
2023-05-25,318.38653564453125,319.3438643558403,312.6033603605029,315.7684598442555,43301700,11.791046142578125,0.038457989586643926,303.09602173348406,287.5997784423828,252.9903121948242,70.28284810305011,5.724191465541368,-272904600.0,7.7134461495309665,0.11871532099964455,7.594730828531322,292.465062172264,304.0683029174805,315.67154366269693,7.631996254713466,1.1169928316342828,70.56552622330291,74.68034111914096,0.02138573300399016,1
2023-05-26,325.1954650878906,325.69365647680604,316.39371620012895,316.5304646832212,36630600,6.808929443359375,0.02138573300399016,305.20073062437996,288.7191418457031,253.2174301147461,74.04710029136805,5.9796020949082065,-236274000.0,8.547283552571855,0.7620421792324263,7.785241373339429,290.7536934901068,305.35292053222656,319.9521475743463,9.562199055881623,1.1795751753985664,82.39882604818297,74.22775388018063,-0.005046825710010472,0
2023-05-30,323.55426025390625,327.9795506793169,322.88020682779495,327.4813593124993,29503100,-1.641204833984375,-0.005046825710010472,306.948685827192,289.74271301269533,253.44669464111328,71.68989131447759,5.916726506094903,-265777100.0,8.972247701501715,0.9496050625298285,8.022642638971886,290.4668985823486,306.6383331298828,322.809767677417,10.54756225842414,1.0230187549008365,92.85913632846655,81.9411628666508,-0.008514155423587466,0
2023-05-31,320.7994689941406,328.1749431768424,319.76394285514135,324.6093167826368,45950600,-2.754791259765625,-0.008514155423587466,308.26780803356803,290.85155334472654,253.63852905273438,67.78903397607904,6.094888921495343,-311727700.0,8.983193555850107,0.768440733502576,8.214752822347531,291.0509274622382,307.7933151245117,324.53570278678524,10.878980692287438,0.8884199234896568,86.08739052382712,87.11511763349218,0.012759279742107,1
2023-06-01,324.89263916015625,325.8206925176594,317.2143317221516,318.3963550941928,26773900,4.093170166015625,0.012759279742107,309.8511252837193,292.01203979492186,253.84328231811523,70.36894674322664,6.274279769639089,-284953800.0,9.215917488530579,0.800931732946438,8.41498575558414,291.70073593486524,309.20218353271486,326.7036311305645,11.320390689283665,0.9482616520638345,82.96649630358831,87.30434105196063,0.008478987856753273,1
2023-06-02,327.64739990234375,329.6988654721622,324.8632701870316,326.5239875083562,25873800,2.7547607421875,0.008478987856753273,311.54600858073115,293.25666870117186,254.06548599243163,71.99468456436826,6.1715165921741955,-259080000.0,9.512979346975726,0.8783948731132671,8.634584473862459,292.2898779922458,310.6995620727539,329.109246153262,11.8504731436971,0.9602968132281521,85.68610932363025,84.91333205034853,0.0016099512404121885,1
2023-06-05,328.1748962402344,330.7343313163918,326.9244840727919,327.4715375327869,21307100,0.527496337890625,0.0016099512404121885,313.12971216735053,294.407158203125,254.29406021118163,72.30799728854208,6.002825924418885,-237772900.0,9.679389578159316,0.8358440834374861,8.84354549472183,292.4460954932054,311.96793060302736,331.4897657128493,12.515283267794006,0.9150984153393671,91.00885514858636,86.55382025860162,-0.006727213635203344,0
2023-06-06,325.9671936035156,327.61813272213266,324.49211655757586,327.5790489490728,20396200,-2.20770263671875,-0.006727213635203344,314.3523294469853,295.4567633056641,254.51717086791993,68.83691603505743,5.837108335721717,-258169100.0,9.523348499625797,0.5438424039231737,8.979506095702623,293.4925181708345,313.223388671875,332.9542591729155,12.598593345601063,0.8229407676404492,88.89402411903116,88.52966286374924,-0.030867985739179704,0
2023-06-07,315.9052429199219,326.7584266923508,315.04557889593144,323.9840754044963,40717100,-10.06195068359375,-0.030867985739179704,314.50022596821736,296.38681457519533,254.70946044921874,55.710606899910125,6.2568040114858325,-298886200.0,8.489903172743027,-0.3916823383676782,8.881585511110705,295.37679717947583,314.05616607666013,332.73553497384444,11.895559402979357,0.5494951637134933,71.68405804199924,83.8623124365389,0.005813796788375347,1
2023-06-08,317.7418518066406,319.0899588404042,315.8759965452041,316.45235552980716,23277700,1.83660888671875,0.005813796788375347,314.8089522385434,297.3760162353516,254.95165603637696,57.31075037221112,6.039458174608282,-275608500.0,7.729982862897998,-0.9212821185701667,8.651264981468165,296.5199715726918,314.7219772338867,332.9239828950816,11.56703819744245,0.5829544454870712,57.56999542826792,72.71602586309942,0.00470381342644588,1
