Date,Close,ticker,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction
2023-05-01,52.5964469909668,NDAQ,52.94040254558058,52.46268730743433,52.77798111405631,1237700,-0.3057365417480469,-0.0057792801985002695,52.765193713639285,52.34593467712402,56.58766082763672,49.098427902363824,0.9850958777709902,-13381200.0,0.13839370992801037,-0.0675278032138091,0.20592151314181947,51.14422910600209,52.850591850280765,54.556954594559436,6.457307986682863,0.42553023670784546,29.710115076489405,24.266810771205453,-0.01416900381009556,0
2023-05-02,51.8512077331543,NDAQ,52.36714101878036,51.02953701412265,52.25248674774499,1745700,-0.7452392578125,-0.01416900381009556,52.67814742978357,52.26826988220215,56.599293632507326,44.84671852519833,1.0266540277047869,-15126900.0,0.04655736324444604,-0.12749131991789875,0.17404868316234479,51.124472773267875,52.84438152313233,54.56429027299678,6.50933439011514,0.21127137121190193,28.159229521758743,26.72402540840183,-0.013082672238766135,0
2023-05-03,51.172855377197266,NDAQ,52.40535786758556,51.125080939736236,52.03274058132785,1609100,-0.6783523559570312,-0.013082672238766135,52.53478628191821,52.21092056274414,56.61114486694336,41.337693081644176,1.0447699491436822,-16736000.0,-0.08003833692010431,-0.20326961606595928,0.12323127914585498,50.93595325775846,52.78992195129395,54.64389064482943,7.023949363842702,0.06389053932378827,17.01265201861111,24.960665538953098,0.004294258138691109,1
2023-05-04,51.39260482788086,NDAQ,51.57413530146514,51.00087848880471,51.144190869630854,1615800,0.21974945068359375,0.004294258138691109,52.42600709581941,52.151875,56.616937522888186,42.89644197964238,1.0110904393948785,-15120200.0,-0.1607810137817225,-0.227209834342062,0.0664288205603395,50.820591141045135,52.75313758850098,54.68568403595682,7.32675452417865,0.14799480953970573,10.315388108751614,18.49575654970717,0.021007606517182698,1
2023-05-05,52.47224044799805,NDAQ,52.548676636187054,51.81299472591907,51.87032186706083,1978600,1.0796356201171875,0.021007606517182698,52.43041027221737,52.11251853942871,56.612804565429684,49.935023262653466,1.0214462514599725,-13141600.0,-0.13608390471772935,-0.16201018022245509,0.02592627550472573,50.82212161258529,52.75409278869629,54.68606396480729,7.324440906791464,0.4270557593758712,15.191495898688757,14.173178675350508,0.0,0
2023-05-08,52.47224044799805,NDAQ,52.68243632083977,52.204721078692614,52.548676636187054,1906100,0.0,0.0,52.434394098482194,52.076017456054686,56.60085210800171,49.935023262653466,0.9826083222233427,-13141600.0,-0.11518350411525091,-0.11288782369598131,-0.0022956804192695995,50.877668079223,52.77988948822021,54.68211089721743,7.208129563900527,0.4191342714452077,25.23496473117237,16.913949579537597,-0.006554863320514692,0
2023-05-09,52.128292083740234,NDAQ,52.61556006024206,52.11873573722705,52.233386382637185,1040300,-0.3439483642578125,-0.006554863320514692,52.40524152564963,52.04596183776855,56.589387035369874,47.75996271685342,0.9479094651370333,-14181900.0,-0.12493339020378613,-0.09811016782761323,-0.02682322237617291,50.90373674109721,52.78992195129395,54.676107161490684,7.146004920927916,0.3246116383542464,32.05485890743865,24.160439845766604,0.011730011279082131,1
2023-05-10,52.7397575378418,NDAQ,52.80663737265569,52.04229380001287,52.68243040313947,1778300,0.6114654541015625,0.011730011279082131,52.437100193477455,52.03365547180176,56.58192518234253,51.78108165365809,0.9347976156731611,-12403600.0,-0.0823705765248377,-0.04443788331893183,-0.03793269320590587,50.92501599545915,52.80473117828369,54.68444636110823,7.119495321273736,0.4827171581536466,36.75948293535672,31.34976885798926,0.00036237620711609964,1
2023-05-11,52.75886917114258,NDAQ,52.79708361814132,52.07095809967565,52.615553149694364,1387700,0.01911163330078125,0.00036237620711609964,52.467744858016985,52.031439514160155,56.57296663284302,51.905690162531634,0.9198924658726262,-11015900.0,-0.0465603719657679,-0.006902143007889619,-0.03965822895787828,50.91308803541179,52.78848876953125,54.66388950365071,7.105339735362584,0.49210312818753976,41.6381989389535,36.81751359391631,-0.001448690535161612,0
2023-05-12,52.682437896728516,NDAQ,53.17926220078442,52.5391255066043,52.93085187109555,2225000,-0.0764312744140625,-0.001448690535161612,52.48819181408475,52.019129028320314,56.56208093643188,51.334348010754084,0.8999099107517331,-13240900.0,-0.02407042308254148,0.012470244700269445,-0.036540667782810926,50.91193699317103,52.787533378601076,54.66312976403112,7.10620961194739,0.4719834494540084,51.08876758058218,43.162149818297486,0.0005439384926633206,1
