Date,ticker,Close,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction
2023-05-01,IBM,112.92156219482422,113.51263719477885,112.89469639166356,113.15441054322498,2725000,-0.286590576171875,-0.0025315365471213,113.96121720388496,114.67597427368165,117.78935920715332,41.90261372798342,1.719982409814296,-41558700.0,-0.724268082542693,-0.1192899472163032,-0.6049781353263898,110.72771529816087,114.76418800354004,118.8006607089192,7.034376795755586,0.2717529705749942,29.656439379059453,26.61867639482537,-0.0073755874238345,0
2023-05-02,IBM,112.08869934082033,113.24396991744456,110.39607851698696,113.10964089639896,4445300,-0.8328628540039062,-0.0073755874238345,113.78288216930736,114.49936935424805,117.74577198028564,38.15197172651819,1.80054733771739,-46004000.0,-0.7848554082777781,-0.1439018183611107,-0.6409535899166674,110.59679087931774,114.45521926879884,118.31364765827992,6.742249788398984,0.1933311067233799,25.5442882573696,27.420486408746083,-0.0136625534570903,0
2023-05-03,IBM,110.55728149414062,112.45587806130366,110.38712912125062,112.3573655562911,4554200,-1.5314178466796875,-0.0136625534570903,113.47568210500576,114.3514227294922,117.70225494384766,32.40789517443858,1.81970459502708,-50558200.0,-0.945544276229512,-0.2436725490502758,-0.7018717271792363,110.20694103307927,114.0902774810791,117.97361392907892,6.807480065326061,0.0451081776910932,16.93549453884042,24.04540739175648,-0.0071283732400411,0
2023-05-04,IBM,109.7691879272461,110.61997028672675,109.0437838768972,110.18114620476555,4468200,-0.7880935668945312,-0.0071283732400411,113.12268265950485,114.20096801757812,117.68609565734864,29.912047186314705,1.8023104389415423,-55026400.0,-1.1235325424826783,-0.3373286522427536,-0.7862038902399247,109.85799204172706,113.66175117492676,117.46551030812648,6.693120762050683,-0.0116732042397047,11.920013358654847,18.133265384954942,0.0088112270043503,1
2023-05-05,IBM,110.73638916015624,111.13938986024924,109.98411253201648,110.25278422048171,4971900,0.9672012329101562,0.0088112270043503,112.89541661194784,114.07308166503908,117.68211124420166,36.38700429387039,1.7714455456602285,-50054500.0,-1.173022595269572,-0.3094549640237176,-0.8635676312458542,109.64773864400338,113.35502052307127,117.0623024021392,6.541010467751375,0.1468259700320627,10.581714208973567,13.145740702156266,-0.002021710792838,0
2023-05-08,IBM,110.51251220703124,110.9782021150856,109.75128477116638,110.8349155405326,3663800,-0.223876953125,-0.002021710792838,112.66847333528912,113.94465850830078,117.68577087402343,35.56791885564067,1.732550674107299,-53718300.0,-1.216288204451402,-0.2821764585644382,-0.934111745886964,109.59167288449753,113.01336364746092,116.43505441042436,6.055373723123933,0.1345591092714975,15.690521393921417,12.730749653849928,-0.0046821919578579,0
2023-05-09,IBM,109.9950714111328,110.72129402512124,109.532111247343,110.65775006583016,4540000,-0.5174407958984375,-0.0046821919578579,112.4138636282266,113.80731872558594,117.68209453582764,33.68079173177782,1.6937386815123654,-58258300.0,-1.2776022557116704,-0.2747924078597652,-1.0028098478519052,109.4793669354355,112.67314910888672,115.86693128233794,5.669109630307345,0.0807356995076538,16.602399154419878,14.291544919104938,0.0070149183541909,1
2023-05-10,IBM,110.76667785644533,111.19333311982848,109.93152670407986,110.7394457206161,4189200,0.7716064453125,0.0070149183541909,112.25698879281887,113.70672561645507,117.68102439880371,38.88782449547591,1.6628863768149544,-54069100.0,-1.2495281092870982,-0.1973746091481543,-1.052153500138944,109.36622873229274,112.45569801330566,115.5451672943186,5.494553563034896,0.2266488184167049,21.45015901236484,17.914359853568698,-0.0091788288111439,0
2023-05-11,IBM,109.74996948242188,110.96638433216506,109.4322497026958,110.76667277754532,3446500,-1.0167083740234375,-0.0091788288111439,112.01822504897154,113.60567993164062,117.67685646057129,34.98953259329568,1.6536898234331194,-57515600.0,-1.294398000366172,-0.1937956001817824,-1.1006024001843897,109.0683165794158,112.21606979370117,115.36382300798653,5.610164783122794,0.1082761030808485,20.30871910566225,19.45375909081564,0.0160462721690455,1
2023-05-12,IBM,111.51104736328124,111.52920673677816,109.94060091861314,110.21293611489298,4564800,1.761077880859375,0.0160462721690455,111.96992241223914,113.5266015625,117.67700428009032,45.23100351791767,1.6626574970704888,-52950800.0,-1.174316653873916,-0.058971402951621,-1.115345250922295,109.1193596802466,112.0537494659424,114.98813925163816,5.237468268007691,0.4075272642191848,33.19573481112991,24.98487097638565,0.0042331076624646,1
2023-05-15,IBM,111.98308563232422,112.28265294038988,111.05715157571603,111.65628619184736,2915700,0.4720382690429687,0.0042331076624646,111.97117605224724,113.44424697875976,117.679080619812,47.61323499438901,1.6314320590421565,-50035100.0,-1.029197826426426,0.0689179395966952,-1.098115766023121,109.212515578905,111.92935943603516,114.6462032931653,4.8545687580437775,0.5098876120812137,41.44261403527267,31.649022650688263,0.0008106774787883,1
2023-05-16,IBM,112.07386779785156,112.43697907650642,111.15701337754663,111.97401202307718,2748400,0.0907821655273437,0.0008106774787883,111.98095621849528,113.35385696411132,117.67483322143556,48.08095279789019,1.6063273190362728,-47286700.0,-0.89653010708588,0.1612685271497929,-1.0577986342356729,109.34676201862575,111.81129913330078,114.2758362479758,4.408386511522092,0.5532693670927749,57.197946347818906,43.94543173140716,0.0182246173623423,1
