Date,ticker,Close,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction
2023-05-01,GOOGL,106.25777435302734,107.0408316423043,105.88111704371836,105.90093792848754,26681700,-0.1387710571289062,-0.0013042816060798,104.17040855352886,99.29611709594728,99.72445808410644,58.28694365352055,2.664820287946464,-456146100.0,1.4237395950538172,-0.1711330093609482,1.5948726044147654,101.83620945323788,104.85571823120117,107.87522700916443,5.759359296562975,0.7321662602967978,75.2243771469637,55.926845520698826,-0.0175372048475026,0
2023-05-02,GOOGL,104.3943099975586,106.2577833799794,102.79846017510972,106.19831315828286,30997200,-1.86346435546875,-0.0175372048475026,104.19173250057932,99.5135888671875,99.69245433807372,52.622773297584494,2.721570496298124,-487143300.0,1.275937998383995,-0.2551476848246163,1.5310856832086113,101.9449766592016,104.90329666137696,107.86161666355233,5.640089675588895,0.4139736973275226,63.232845073106695,65.01489474441821,0.0008546264604893,1
2023-05-03,GOOGL,104.48352813720705,106.54524073699992,104.03747876508014,104.6024685865706,21795400,0.0892181396484375,0.0008546264604893,104.21952256121052,99.78359481811523,99.67451343536376,52.85897379756685,2.706298458842528,-465347900.0,1.1527155392170982,-0.3026961151932106,1.4554116544103088,102.01540834378376,104.93749389648436,107.85957944918498,5.569192562542232,0.4223216173705488,53.03749339299518,63.83157187102186,-0.0068304433815156,0
2023-05-04,GOOGL,103.76985931396484,104.67185719426804,103.05618634008118,104.56282340312816,23419500,-0.7136688232421875,-0.0068304433815156,104.17669749004428,100.0421029663086,99.62931434631348,50.682288521545566,2.628396487081409,-488767400.0,0.9861065207597052,-0.375444106920483,1.361550627680188,102.04551043015536,104.948397064209,107.85128369826263,5.532026625004314,0.2970058946810446,40.85888196966837,52.376406811923424,0.0084056528912666,1
2023-05-05,GOOGL,104.6421127319336,104.94938562732776,103.19494602522197,103.89870471094449,26639300,0.87225341796875,0.0084056528912666,104.2210227511766,100.33312240600586,99.58803035736084,53.21792522270522,2.5659709952974383,-462128100.0,0.913916177581072,-0.3581075600792929,1.272023737660365,102.14313508981483,104.80714950561524,107.4711639214156,5.083650167697102,0.4690247971815027,43.72179432756726,45.87272323007695,0.0208392587417105,1
2023-05-08,GOOGL,106.8227767944336,107.0111092526405,104.2357237525446,104.25554463966958,26511400,2.1806640625,0.0208392587417105,104.4688088505344,100.70264587402345,99.55546913146972,58.906322177077385,2.580929174211614,-435616700.0,1.02089790027496,-0.2009006699083237,1.221798570183284,102.08113132223087,104.87306518554688,107.66499904886288,5.324405953762044,0.8491686594916376,58.885057001663085,47.82191109963292,-0.0038972322558873,0
2023-05-09,GOOGL,106.40646362304688,109.18185651644418,106.24787384869296,107.43732362452766,36360100,-0.4163131713867187,-0.0038972322558873,104.65334740029748,101.0491729736328,99.55274326324462,57.46962625991883,2.6061472808930146,-471976800.0,1.059871157656417,-0.1295419300214935,1.1894130876779103,102.11114932106538,104.97218627929688,107.83322323752836,5.451038145703101,0.7506569059905772,67.84412985744501,56.8169937288918,0.0409875077687469,1
2023-05-10,GOOGL,110.7677993774414,111.94734256928348,106.98137468108187,107.02102401786978,63153400,4.361335754394531,0.0409875077687469,105.23567616002548,101.47916000366212,99.57375690460204,66.64705780555663,2.8157709712747008,-408823400.0,1.426240280939382,0.189461754609177,1.236778526330205,101.5704677686439,105.32456245422364,109.07865713980338,7.1286214689215655,1.2249733130235592,80.2568992228999,68.99536202733601,0.0431319035355923,1
2023-05-11,GOOGL,115.54542541503906,116.88355828293253,113.40441433887696,114.38571076702053,78900000,4.777626037597656,0.0431319035355923,106.21755704145536,101.99875244140624,99.6309992980957,73.41474279200371,3.0514843951473023,-329923400.0,2.0781493317422104,0.6730966443296043,1.405052687412606,99.95552010675624,105.77754592895508,111.5995717511539,11.00805614474958,1.3388729099104988,80.79813837155211,76.29972248396568,0.0080639058896239,1
2023-05-12,GOOGL,116.4771728515625,116.99259909422788,115.08947634268829,115.65446614587464,41102300,0.9317474365234376,0.0080639058896239,107.19466330908462,102.50446838378906,99.65305377960205,74.50140118272635,2.969458563461037,-288821100.0,2.639549103441553,0.9875971328231572,1.6519519706183956,98.7796579493264,106.20574913024902,113.63184031117164,13.984348760283002,1.1915767306830556,92.08396606341198,84.37966788595467,-0.0085099158335787,0
2023-05-15,GOOGL,115.4859619140625,117.43864822230547,114.9903565591719,115.08947611768252,36266800,-0.9912109375,-0.0085099158335787,107.984310795273,102.95764999389648,99.66440311431884,71.16871912486059,2.9322323562947905,-325087900.0,2.970240939776445,1.0546311753264397,1.9156097644500056,98.30152848917618,106.728116607666,115.15470472615584,15.79075577519293,1.019655475220143,91.78836016446328,88.22348819980914,0.0257488021385512,1
2023-05-16,GOOGL,118.45958709716795,119.68868618777016,115.40665647509871,115.46612669425036,45035600,2.9736251831054688,0.0257488021385512,108.98195615735824,103.44096435546876,99.68021286010742,74.80932797109902,3.028646453178838,-280052300.0,3.432693351058333,1.2136668692866617,2.2190264817716714,97.75919002678556,107.47202033996582,117.18485065314609,18.07508648754477,1.06562126604292,92.32975674132992,92.06736098973506,0.0111286757969399,1
2023-05-17,GOOGL,119.77788543701172,120.60059205109168,117.84502778931716,118.55870063226185,33323600,1.31829833984375,0.0111286757969399,110.0101398982776,103.97582122802734,99.70985000610352,76.24164331250387,3.0091405823642434,-246728700.0,3.861058004089415,1.3136252178541947,2.54743278623522,97.41845076076348,108.29769821166992,119.17694566257636,20.09137337276132,1.0276186279035917,91.91482589144012,92.0109809324111,0.0164682031503242,1
