Date,ticker,finbert_positive,finbert_negative,finbert_neutral,finbert_confidence,finbert_score,news_count
2023-05-01,MSFT,0.23454629128571428,0.11271836610714285,0.6527353392857143,0.7894387057142858,0.12182792221428572,14
2023-05-02,MSFT,0.2826664138823529,0.33634413,0.38098946588235294,0.8152152047058824,-0.05367771623529413,17
2023-05-03,MSFT,0.3493870611481481,0.23605664343333335,0.414556307,0.8434712629629629,0.11333042022222223,27
2023-05-04,MSFT,0.38401648512000003,0.12643924814,0.48954427260000005,0.7966831292000001,0.257577232272,25
2023-05-05,MSFT,0.35104652812307696,0.23718305903846154,0.4117704086153846,0.8310847407692308,0.11386346976923076,13
2023-05-06,MSFT,0.32765243866666666,0.025588891333333332,0.6467586733333334,0.8981753166666667,0.3020635425,3
2023-05-07,MSFT,0.215383706,0.1604181,0.6241982533333333,0.6241982533333333,0.05496561000000002,3
2023-05-08,MSFT,0.429749997,0.16778517076666669,0.40246481126666667,0.8486596513333333,0.26196481946666667,15
2023-05-09,MSFT,0.2888495222954546,0.2405400375,0.47061045222727277,0.8430310777272727,0.048309485636363635,22
2023-05-10,MSFT,0.28064985886000005,0.19581313206666667,0.5235369926666666,0.7501409706666666,0.08483672666666668,15
2023-05-11,MSFT,0.20056659703157895,0.17537833989473683,0.6240550635263158,0.8694836057894737,0.025188258165789477,19
2023-05-12,MSFT,0.2885389411,0.025086886349999997,0.6863741775000001,0.827937343,0.26345204566,10
2023-05-13,MSFT,0.1168030368,0.0364351988,0.8467617300000001,0.8467617300000001,0.0803678358,5
2023-05-14,MSFT,0.2858783125,0.021296921,0.6928247574999999,0.6928247574999999,0.264581385,4
2023-05-15,MSFT,0.21494525064583334,0.21284459120833332,0.5722101437083333,0.8335933187500001,0.0021006646958333366,24
2023-05-16,MSFT,0.35775331932,0.1453670724,0.49687961588,0.8224559927999999,0.21238624688000002,25
2023-05-17,MSFT,0.3355100146117647,0.19495273999999999,0.4695372524117647,0.8512691682352941,0.14055726876470587,17
2023-05-18,MSFT,0.40413081362500003,0.0406131173125,0.5552560578125,0.8000977943750001,0.3635176979375,16
2023-05-19,MSFT,0.20535078621428574,0.14691354542857143,0.6477356669285715,0.85177222,0.058437243414285724,14
