Date,ticker,finbert_positive,finbert_negative,finbert_neutral,finbert_confidence,finbert_score,news_count
2023-05-01,NVDA,0.35808718444444443,0.3739422971111111,0.2679705087777778,0.8407767700000001,-0.015855107111111103,9
2023-05-02,NVDA,0.35569802687499996,0.37344939575,0.27085255725,0.83658813,-0.01775136325,8
2023-05-03,NVDA,0.3581419705466667,0.2937636658466667,0.34809435980000003,0.817197316,0.06437830646666667,15
2023-05-04,NVDA,0.3896071333636364,0.07275995809090909,0.5376329187272727,0.7922795972727272,0.3168471830909091,11
2023-05-05,NVDA,0.275475405125,0.317212555625,0.40731206724999997,0.844691255,-0.04173715874999999,8
2023-05-06,NVDA,0.113484525,0.01236011075,0.8741554,0.8741554,0.101124416,2
2023-05-07,NVDA,0.175965497,0.4095619668,0.41447255,0.69451023,-0.23359646000000006,5
2023-05-08,NVDA,0.6833591958181818,0.040500093545454544,0.27614070472727276,0.87538697,0.6428590936363636,11
2023-05-09,NVDA,0.35953599772727274,0.19368238372727273,0.4467816054090909,0.85018247,0.1658536098181818,11
2023-05-10,NVDA,0.37009538462499997,0.136350275,0.49355434875,0.8723358125,0.23374511278750001,8
2023-05-11,NVDA,0.28819906853846156,0.19836232784615385,0.5134386106923077,0.8501953130769231,0.08983674376923077,13
2023-05-12,NVDA,0.33539405763636365,0.16745825827272728,0.49714767827272727,0.8284473627272727,0.16793580690909093,11
2023-05-13,NVDA,0.053351764,0.014435148,0.93221307,0.93221307,0.038916618,1
2023-05-14,NVDA,0.1342669575,0.01190507625,0.853827965,0.853827965,0.122361885,2
2023-05-15,NVDA,0.17956721674999998,0.257628543875,0.56280421375,0.7722752075,-0.078061329,8
2023-05-16,NVDA,0.24475730315384617,0.12121697161538461,0.6340257007692307,0.847769956923077,0.12354033199999999,13
2023-05-17,NVDA,0.412648108,0.15403884261111112,0.4333130437777778,0.7632209155555556,0.25860926265555556,9
2023-05-18,NVDA,0.492762727826087,0.13508409161304347,0.372153169,0.7962936047826087,0.3576786375217392,23
2023-05-19,NVDA,0.2138615373157895,0.20488619281578946,0.5812522785789473,0.8465327052631579,0.008975342384210527,19
2023-05-20,NVDA,0.3956428125,0.02792571075,0.57643146,0.81777912,0.367717101625,4
2023-05-21,NVDA,0.4396257907272727,0.026109848954545455,0.5342643555454546,0.8583108963636363,0.4135159475363636,11
2023-05-22,NVDA,0.3106922887307692,0.36435719013461537,0.32495052023076926,0.7859493461538462,-0.05366489419230769,26
2023-05-23,NVDA,0.3896204939617647,0.1380327463382353,0.47234675400000004,0.824455315,0.2515877452147059,34
2023-05-24,NVDA,0.29844537930645165,0.35569894429032256,0.34585568,0.8383950835483871,-0.05725356438709678,31
2023-05-25,NVDA,0.45820664236567166,0.32522041952238806,0.2165729445522388,0.8414028007462686,0.13298622464179105,67
2023-05-26,NVDA,0.38272856792105264,0.2130216284736842,0.4042498096315789,0.8028563615789474,0.16970694381578946,38
2023-05-27,NVDA,0.20012612344444444,0.2720600478888889,0.5278138283333333,0.7982663233333334,-0.07193391977222222,18
2023-05-28,NVDA,0.43047522200000005,0.10192115460000001,0.4676035903636364,0.8059394518181818,0.3285540675454545,11
2023-05-29,NVDA,0.33597940219047623,0.11385017942857142,0.5501704095714286,0.7795455671428572,0.2221292173333333,21
2023-05-30,NVDA,0.3087890652682927,0.21305387497560974,0.4781570578536586,0.8210750741463415,0.09573519100243903,41
2023-05-31,NVDA,0.3607622395777778,0.3057682417111111,0.3334695200666667,0.8034694480000001,0.05499399533333334,45
2023-06-01,NVDA,0.413724025931579,0.15314227767105262,0.43313368836842103,0.8093039536842105,0.2605817513947368,38
