Date,Close,ticker,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction
2023-05-01,399.8477478027344,SPY,401.8781992260224,399.61677440898023,399.8092473425676,62122300,-0.404144287109375,-0.0010097248635083655,394.32151434871525,386.82456481933593,378.31036392211917,60.65739588453651,4.38411958889421,-1722267800.0,2.8940773509447695,-0.14908049288053693,3.0431578438253064,389.7372852918407,395.65257415771487,401.56786302358904,2.9901429952614054,0.8546042923805325,85.65016502829968,57.23594285034312,-0.011239171770321854,0
2023-05-02,395.3537902832031,SPY,399.1837787040956,392.4476367591756,399.13564578414,103998500,-4.49395751953125,-0.011239171770321854,394.419826342476,386.9232666015625,378.4570695495606,53.284565506442966,4.599547549941677,-1826266300.0,2.627637033541532,-0.33241664822701944,2.9600536817685517,389.73112155944943,395.64728088378905,401.56344020812867,2.990623017109693,0.47519585050908963,78.56128852091778,74.40976750630274,-0.006864092829977797,0
2023-05-03,392.6400451660156,SPY,398.2695405891648,392.39946868953274,395.8541433677578,91531800,-2.7137451171875,-0.006864092829977797,394.2503233732893,387.1243359375,378.6053170776367,49.3812193570515,4.690299289205278,-1917798100.0,2.1724618235663797,-0.6300734865617379,2.8025353101281176,389.6434593822054,395.61600189208986,401.58854440197433,3.019363464227909,0.25086349564284705,55.46729428629515,73.22624927850421,-0.007082915793210187,0
2023-05-04,389.8590087890625,SPY,391.91832822239473,388.5213894409254,391.59114772802405,94901900,-2.781036376953125,-0.007082915793210187,393.8321029366963,387.28032958984375,378.69062118530275,45.687567401406824,4.649467606054201,-2012700000.0,1.5692366139022056,-0.9866389569807295,2.555875570882935,389.1758912499167,395.4971557617188,401.81842027352087,3.1966169261710533,0.05403329807433412,30.55398536508801,54.86085605743366,0.01851247367885467,1
2023-05-05,397.0762634277344,SPY,398.1251732691853,393.2366725239446,393.4964845285171,87891800,7.217254638671875,0.01851247367885467,394.14107060250944,387.5400231933594,378.8001316833496,55.07831630829646,4.907803097059103,-1924808200.0,1.6544766445846335,-0.721119141038641,2.3755957856232746,389.35805372501557,395.6626678466797,401.96728196834385,3.1868632721787127,0.6121080175388701,34.899664796215475,40.306981482532876,0.0002667661691924117,1
2023-05-08,397.18218994140625,SPY,397.6633429667236,395.77723133030975,397.40353090526224,50046800,0.105926513671875,0.0002667661691924117,394.43070101573767,387.8838934326172,378.8910696411133,55.20074665606208,4.691967992727299,-1874761400.0,1.7108556880095875,-0.5317920780909495,2.242647766100537,389.5145648747928,395.81327056884766,402.1119762629025,3.1826652426294717,0.6086667197239171,46.301709599667895,37.251786586990455,-0.004385523446803097,0
2023-05-09,395.4403381347656,SPY,396.5566164511649,395.2093941269741,395.6328110527547,49220100,-1.741851806640625,-0.004385523446803097,394.5268569318356,388.16704528808594,378.990880279541,52.65919756607996,4.497741408563361,-1923981500.0,1.5965792310405504,-0.5168548280479897,2.11343405908854,389.60927433789345,395.8714874267578,402.1337005156222,3.163760608054893,0.46557532569764515,60.230508056543336,47.143960817475566,0.004672633579694718,1
2023-05-10,397.2880859375,SPY,398.9143856232208,393.45809702290114,398.27926006247316,96142900,1.847747802734375,0.004672633579694718,394.7898311228513,388.5153350830078,379.09764846801755,55.02480553644763,4.566209065117385,-1827838600.0,1.6362504443907824,-0.38174689175820653,2.017997336148989,389.9908225693613,396.1024475097656,402.21407245016997,3.0858809274354018,0.5969986246943955,60.7591335621187,55.76378373944331,-0.001744078505885871,0
2023-05-11,396.5951843261719,SPY,396.8838643849846,394.5165998009732,396.4219762908843,70157100,-0.692901611328125,-0.001744078505885871,394.9617695231675,388.87890991210935,379.2231907653809,53.936370683788205,4.438014570218058,-1897995700.0,1.5934109480276675,-0.33966911049705706,1.9330800585247245,389.9759080880572,396.03797607421876,402.1000440603803,3.0613569164516115,0.5459585947588436,59.29419888415557,60.094613500939204,-0.0013102865109050343,0
2023-05-12,396.0755310058594,SPY,398.04827596600416,393.6505304091499,397.8365674670435,70481500,-0.5196533203125,-0.0013102865109050343,395.06784204532863,389.173232421875,379.2979037475586,53.08822790106841,4.435138212120644,-1968477200.0,1.5002348846068116,-0.3462761391343303,1.846511023741142,389.94724019685844,395.9961166381836,402.04499307950874,3.055018060619987,0.5065643899694522,60.879389962248865,60.31090746950772,0.0034499090541562083,1
2023-05-15,397.44195556640625,SPY,397.8461075849292,394.766746430572,396.6817257085728,54289400,1.366424560546875,0.0034499090541562083,395.29394809495506,389.37255920410155,379.35554748535156,55.088113640828354,4.338296993708967,-1914187800.0,1.5191395305218407,-0.2618971945754409,1.7810367250972816,389.9594474672128,395.9513687133789,401.943289959545,3.026594536413147,0.6243830477562694,61.263387916306066,60.478992254236836,-0.006682598017196506,0
2023-05-16,394.7860107421875,SPY,397.2591440489676,394.7763782852964,396.3353092048242,57705500,-2.65594482421875,-0.006682598017196506,395.24557310897717,389.5133984375,379.3717808532715,50.57499008335293,4.218817014237602,-1971893300.0,1.3047684890016171,-0.3810145888765317,1.6857830778781489,389.8761147056183,395.7608306884766,401.64554667133484,2.973874889347211,0.41717357735456984,56.74840364213458,59.630393840229836,0.012138897314760033,1
2023-05-17,399.5782775878906,SPY,400.1845056184392,395.16129716185526,396.80683197926186,87287000,4.792266845703125,0.012138897314760033,395.65821163077845,389.86895629882815,379.41777252197267,57.3625971430012,4.3030797186671785,-1884606300.0,1.5042339058267657,-0.14523933764110675,1.6494732434678725,389.8132365262887,395.81327362060546,401.81331071492224,3.0317513303345813,0.8137483908933971,65.48987868592208,61.16722341478757,0.009633111569884,1
2023-05-18,403.4274597167969,SPY,403.8508766062225,399.03934774205976,399.26065927477663,97177200,3.84918212890625,0.009633111569884,396.39814001992306,390.289033203125,379.4958879089356,61.88973805774404,4.3393975147740065,-1787429100.0,1.950425226661423,0.24076158655484026,1.7096636401065828,389.30858428372034,396.1669189453125,403.02525360690464,3.462345962580933,1.0293224324663433,75.64029210111993,65.95952480972552,-0.0014548193197161385,0
2023-05-19,402.8405456542969,SPY,404.86139419112027,401.6184275681808,404.3321376214222,103793300,-0.5869140625,-0.0014548193197161385,397.01170246129203,390.838486328125,379.54070419311523,60.82917634696255,4.261081022500113,-1891222400.0,2.2309588978092734,0.4170362061621524,1.813922691647121,389.0250901192167,396.47582244873047,403.9265547782442,3.7584800422362363,0.9271206456011403,89.21710270371999,76.78242449692067,0.0004060520235973364,1
2023-05-22,403.0041198730469,SPY,404.54381527738377,401.6183969458684,402.85977985297563,60745400,0.16357421875,0.0004060520235973364,397.5824088814592,391.4995373535156,379.5876689147949,61.02961295338758,4.16567654457263,-1830477000.0,2.4383748582065436,0.49956173324753816,1.9388131249590055,388.79639901158333,396.77221527099607,404.7480315304088,4.020350192094597,0.8906750355925113,91.16799252132871,85.34179577538953,-0.011223008595040329,0
2023-05-23,398.481201171875,SPY,402.93668167961783,398.0866522737922,401.35848608728674,86383500,-4.522918701171875,-0.011223008595040329,397.6680081472131,392.08067443847654,379.6153454589844,52.96002871639765,4.219375905621348,-1916860500.0,2.2122898611797837,0.21878138897662236,1.9935084722031613,389.6472238647708,397.1576156616211,404.6680074584714,3.782071147918841,0.5881169415694792,79.07320911474496,86.48610144659789,-0.007244609813016778,0
2023-05-24,395.5943603515625,SPY,397.25916026310097,394.42997834283796,396.8742437459542,89213700,-2.8868408203125,-0.007244609813016778,397.47051788096064,392.481943359375,379.6308686828613,48.54769922490272,4.207364971579612,-2006074200.0,1.7796571643254993,-0.17108104630212972,1.950738210627629,390.88232253429646,397.48143310546874,404.080543676641,3.3204623016548553,0.35702067471412163,56.62292968810826,75.62137710806064,0.008659833388311,1
2023-05-25,399.0201416015625,SPY,400.4732329300767,396.86458575045214,399.10674560980397,90961600,3.42578125,0.008659833388311,397.6181010924465,392.9987017822266,379.67131378173826,53.49883701078195,4.255329800646368,-1915112600.0,1.693700625031397,-0.20563006847698562,1.8993306935083827,390.9635572493806,397.5892074584961,404.2148576676116,3.3329125060856506,0.6079844315579569,43.33699039934436,59.677709734065864,0.01295080753542699,1
