Date,ticker,Close,High,Low,Open,Volume,Daily_Change_USD,Daily_Return_Pct,EMA_20,SMA_50,SMA_200,RSI_14,ATR_14,OBV,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,STOCHk_14_3_3,STOCHd_14_3_3,Target_Forward_Return,Target_Direction,llm_positive,llm_negative,llm_neutral,llm_confidence,llm_score,llm_relevance,llm_impact_magnitude,llm_uncertainty,news_count
2023-05-01,AAPL,167.01431274414062,167.86125191507637,166.07874407354768,166.70902333840385,52472900,-0.088653564453125,-0.0005305325597236,162.34979343155803,155.81761505126954,148.43144229888915,65.85039323769836,2.7219669428737845,731964100.0,2.634078838060333,0.0128312659243015,2.621247572136032,157.89094874937666,162.76290740966795,167.6348660699593,5.986571188518745,0.9363137734648228,96.18110832297089,80.67101522706248,-0.0061913397804567,0,0.202208619047619,0.1746242857142857,0.6231677619047619,0.6335677142857142,0.0275843809523809,0.2085714285714285,0.2260274761904762,0.2427912380952381,21
2023-05-02,AAPL,165.9802703857422,167.76279339985444,164.99545801480568,167.50673256610264,48425700,-1.0340423583984375,-0.0061913397804567,162.69555314148033,156.13255767822267,148.52526973724366,62.441915274965005,2.7252075458862834,683538400.0,2.610081821840083,-0.0089326002367586,2.619014422076842,157.82038567356855,162.8796073913574,167.93882910914627,6.212222387831353,0.806436757207384,89.69999253721285,89.08225637962909,-0.0064672780039646,0,0.231737,0.2065102083333333,0.56175325,0.6484201666666667,0.0252267499999999,0.2804166666666667,0.2850655833333333,0.2422575416666667,24
2023-05-03,AAPL,164.90682983398438,168.32412999077732,164.62124085601573,166.9256982160475,65136000,-1.0734405517578125,-0.0064672780039646,162.90615092171882,156.50619598388673,148.62892482757567,59.02627707934842,2.7950419450916626,618402400.0,2.475905633244224,-0.1144870310660941,2.5903926643103183,157.83361368797577,162.9692237854004,168.10483388282503,6.302552074724559,0.6886441933700954,76.01810835783459,87.2997364060061,-0.0099133606863635,0,0.27362225,0.1669299375,0.559448125,0.6195464374999999,0.1066921875,0.325,0.299649125,0.2341531875,16
2023-05-04,AAPL,163.2720489501953,164.50306450874902,161.81453073644045,162.3857237588548,81235400,-1.6347808837890625,-0.0099133606863635,162.9409983530023,156.8386685180664,148.70514293670655,54.16674328195902,2.816274598838253,537167000.0,2.212156518876924,-0.3025889163467159,2.51474543522364,157.99204513711706,163.06918334960938,168.1463215621017,6.226974475744165,0.5199783413505256,57.645708498554654,74.4546031312007,0.0469268930282311,1,0.2454622105263158,0.2441253684210526,0.5104127631578947,0.6286617631578948,0.001336894736842,0.4081578947368421,0.3849409736842105,0.258062447368421,38
2023-05-05,AAPL,170.93389892578125,171.65280778469676,168.1665634032941,168.38322333782398,113453200,7.6618499755859375,0.0469268930282311,163.70222697898126,157.31472686767577,148.80967090606688,67.6212563490734,3.213737758528482,650620200.0,2.5915074214121887,0.061409588950839,2.5300978324613497,157.40770541551012,163.5079147338867,169.6081240522633,7.461668541617488,1.1086663427699217,62.580350906202206,65.41472258753048,-0.00040330917049,0,0.4245681612903225,0.1462172580645161,0.4292149032258064,0.653294870967742,0.2783509354838709,0.4580645161290322,0.4625448709677419,0.2370507096774193,31
2023-05-08,AAPL,170.86495971679688,171.20965008439242,169.49607101524845,169.86044681233005,55962800,-0.068939208984375,-0.00040330917049,164.38439200163037,157.84238891601564,148.90253154754635,67.42945385733377,3.1065835664295887,594657400.0,2.8536873948024493,0.2588716498728796,2.5948157449295697,157.46520806801223,164.07270584106445,170.68020361411666,8.054353390688677,1.013980791899296,74.50617520796239,64.91074487090641,-0.009971060402368,0,0.25495762037037034,0.18235879761904758,0.5626840727513227,0.6255916296296297,0.0725988386243386,0.34940476190476183,0.24860888624338626,0.22802718783068784,42
2023-05-09,AAPL,169.1612548828125,170.90436226614003,168.9938385535857,170.42181373691182,45326900,-1.703704833984375,-0.009971060402368,164.8393313236477,158.3121450805664,148.993049659729,62.69655290089333,3.0211507197242127,549330500.0,2.890670322869568,0.2366836623519979,2.6539866605175697,158.1989388126601,164.61287689208984,171.0268149715196,7.792753763284681,0.8545698394960993,88.2319876414437,75.10617125186944,0.0104208385380246,1,0.2667013461538461,0.1698420384615384,0.5634569230769231,0.6238103846153845,0.0968593461538461,0.2665384615384615,0.2747086923076923,0.237184,26
2023-05-10,AAPL,170.92405700683594,171.38692008917508,169.28926463206565,170.3922648627901,53724500,1.7628021240234375,0.0104208385380246,165.41882900776088,158.8272021484375,149.09796962738037,65.40248314367891,2.9643303259126674,603055000.0,3.027325831130611,0.2986713364904325,2.7286544946401783,159.1354000862264,165.2756561279297,171.41591216963295,7.430321180453204,0.9599483181599868,88.20302044561784,83.64706109834131,0.0010945680553782,1,0.2461338333333333,0.2218754166666666,0.531991,0.6091158333333334,0.0242585833333333,0.17,0.2460036666666666,0.2337435,12
2023-05-11,AAPL,171.11114501953125,171.9383837832071,169.55513971049686,171.2096322648924,49514700,0.1870880126953125,0.0010945680553782,165.9609543422152,159.38736358642578,149.21044208526612,65.68696452651346,2.922824164969636,652569700.0,3.1148170727338425,0.3089300624749311,2.805887010258912,159.13155936246486,165.6789352416992,172.22631112093356,7.903691401303095,0.9148386985892188,88.14696806909372,88.19399205205174,-0.005417542808326,0,0.2242071176470588,0.167817294117647,0.6079761176470588,0.6235755882352941,0.0563898823529411,0.1452941176470588,0.1662779411764705,0.2495436470588235,17
2023-05-12,AAPL,170.18414306640625,171.6535334613317,168.63584185680983,171.2196142676148,45533100,-0.927001953125,-0.005417542808326,166.36316279213816,159.91716674804687,149.29284038543702,62.92601467306224,2.929600410651939,607036600.0,3.073918977185315,0.2144255735411229,2.859493403644192,159.3752470804116,166.05309982299804,172.73095256558446,8.043032921041025,0.8093092497430697,90.44404997195066,88.93134616222073,-0.0028972882013644,0,0.2040452857142857,0.1797246428571428,0.6162305,0.6292109285714285,0.0243207142857142,0.2492857142857143,0.1844891428571428,0.2338579285714285,14
