Date,ticker,finbert_positive,finbert_negative,finbert_neutral,finbert_confidence,finbert_score,news_count
2023-05-01,GOOGL,0.16359343775000001,0.240461753375,0.59594480925,0.784994496875,-0.076868317125,16
2023-05-02,GOOGL,0.2737025556315789,0.3314912071052632,0.3948062599473684,0.7162882331578947,-0.05778864868421053,19
2023-05-03,GOOGL,0.26768800242857144,0.21452409600000003,0.5177879034285714,0.8168490142857143,0.05316390716428571,14
2023-05-04,GOOGL,0.3070399747,0.14714390630000002,0.5458161086,0.864102094,0.15989607208,10
2023-05-05,GOOGL,0.0938465222,0.28649553825,0.619657927375,0.78126171375,-0.192649018875,8
2023-05-06,GOOGL,0.064869001,0.3718927773333333,0.5632381866666667,0.7887072666666667,-0.30702378016666665,3
2023-05-07,GOOGL,0.35056028933333333,0.154072892,0.4953668066666667,0.7361038533333334,0.19648738000000002,3
2023-05-08,GOOGL,0.2190997551111111,0.32147074,0.4594295117777778,0.8553979,-0.10237097966666667,9
2023-05-09,GOOGL,0.3508046900909091,0.3252096925454545,0.3239856415454545,0.7998357872727273,0.025595001636363645,11
2023-05-10,GOOGL,0.3134816679333333,0.3023990564444444,0.3841192642222222,0.8869293633333333,0.01108262111111113,9
2023-05-11,GOOGL,0.3126128921857143,0.20807043007142859,0.4793166936428572,0.8763919164285714,0.1045424615,14
2023-05-12,GOOGL,0.397822568,0.12200809605,0.4801693445,0.8058837000000001,0.2758144585,10
2023-05-13,GOOGL,0.161886746625,0.169943824375,0.668169416375,0.86153383625,-0.00805707957499999,8
2023-05-14,GOOGL,0.10204838249999999,0.044289761,0.8536618625,0.8536618625,0.05775862200000001,4
2023-05-15,GOOGL,0.12504413646666668,0.36510920873333336,0.5098466445333334,0.8413529306666666,-0.24006506882,15
2023-05-16,GOOGL,0.3002768178695652,0.13205488928695652,0.5676683042173913,0.8136704239130436,0.16822193323913046,23
2023-05-17,GOOGL,0.1678031321125,0.3043307410625,0.5278661439375,0.834963215625,-0.1365276108125,16
2023-05-18,GOOGL,0.36449927976190477,0.13057760614285716,0.5049231322380953,0.7378622842857142,0.2339216721428571,21
2023-05-19,GOOGL,0.35673477807142856,0.09005391464285714,0.5532113197857143,0.8391588085714285,0.2666808610714286,14
2023-05-20,GOOGL,0.163629195,0.14585656857142856,0.6905142228571428,0.77752468,0.017772629571428566,7
2023-05-21,GOOGL,0.33032000637500003,0.159661415625,0.5100185807500001,0.81510900625,0.170658592625,8
2023-05-22,GOOGL,0.4165943427,0.1809759488,0.4024297139,0.808472961,0.235618396,10
2023-05-23,GOOGL,0.17048967669999998,0.1742055267,0.65530479335,0.8168828295000001,-0.0037158524000000014,20
2023-05-24,GOOGL,0.22939453444444446,0.09202630283333334,0.6785791513888889,0.8193237,0.13736823323333336,18
2023-05-25,GOOGL,0.5366827306666667,0.1820485768888889,0.2812687216111111,0.8724611372222222,0.3546341494166667,18
2023-05-26,GOOGL,0.48198134270588233,0.20768890788235292,0.31032976535294116,0.8697103188235294,0.27429242888235295,17
2023-05-27,GOOGL,0.2774811322222222,0.15661266344444444,0.5659062122222223,0.7369970933333333,0.12086847444444443,9
2023-05-28,GOOGL,0.30504375300000003,0.286119289625,0.40883695374999995,0.860677465,0.018924450000000037,4
